,id,name,summary,host_id,host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood_cleansed,city,state,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating_new,review_scores_accuracy_new,review_scores_cleanliness_new,review_scores_checkin_new,review_scores_communication_new,review_scores_location_new,review_scores_value_new,reviews_per_month_category,price_range
1711,1870946,2 Room Private Bath Near DC Metro,"This clean and private suite has two rooms, one with a queen sized bed and the other with a sofa that converts to a full bed with private bath.  You are welcome to share the kitchen and living room.  7min from Georgia Petworth metro, 6 stops from the National Mall.",9240073,05/10/2013,f,2,t,t,"8th Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94202325,-77.02327828,t,House,Private room,4,Real Bed,139,0,0,4,25,1,1125,0,0,0,258,58,02/01/2014,14/09/2015,f,flexible,t,t,2,2.72,100,10,10,10,10,10,10,Medium,0125-0150
1712,7047454,Newly renovated english basement,"Located in the heart of one of DC's most popular neighborhoods, this private english basement has its own entry and a full bathroom. Countless new restaurants in the area and a metro station only a block away, makes getting anywhere in the city easy.",36956784,28/06/2015,f,1,t,t,"Quincy Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.93894548,-77.02211038,t,House,Private room,2,Real Bed,84,0,0,1,15,1,1125,28,58,88,363,4,05/07/2015,20/09/2015,f,flexible,f,f,1,1.32,90,9,9,10,10,10,8,Medium,0075-0100
1713,3431194,Cozy basement room in Brownstone ,Our cozy basement private room has a ikea queen bed with hardwood floors. All brand new appliances. Fridge microwave stove washer/dryer Totally remodeled basement. Off street parking in fenced backyard. Quiet brownstone row house. Minutes from Subway and Georgia Avenue Shopping District. Key locked room and motion night light.  ,458239,23/03/2011,f,1,t,t,"Hamilton Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.95403001,-77.01140493,t,House,Private room,2,Real Bed,100,0,0,1,0,2,1125,30,60,90,365,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0100-0125
1714,3890435,Welcoming Apt w/ Sunny Balcony,"Beautiful room with full bed in a 2-bd, 1 bath apartment just one block from Metro/bus. Prepare meals in a newly renovated kitchen with high-quality cookware, and dine on the huge balcony overlooking the neighborhood.",20128943,16/08/2014,f,1,t,t,"New Hampshire Avenue Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.93850708,-77.02439807,t,Apartment,Private room,2,Real Bed,69,0,0,1,0,1,1125,1,1,16,291,2,18/09/2015,21/09/2015,f,flexible,f,f,1,2,80,9,6,10,10,9,9,Medium,0050-0075
1715,3613485,Spacious independent 1BR apartment,"Newly refurbished 1BR basement. Private entrance,Living room,Kitchenette,Full Bath,Free wifi. 5 min bus ride to Georgia Avenue - Petworth metro,Bus stop right outside,Walking distance to bars,restaurant,Rockcreek pkwy,bike share, free street parking.",3198741,08/08/2012,f,1,t,t,"5th Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.95521071,-77.02010001,t,Apartment,Private room,3,Real Bed,90,300,40,3,15,1,1125,23,53,83,358,5,22/09/2014,23/04/2015,f,flexible,f,f,1,0.4,100,10,10,10,10,9,10,Low,0075-0100
1716,2564704,Newton Suite: Nice well located 1BR,"Great recently renovated one-bedroom unit with new appliances, Jacuzzi tub, balcony. Great neighborhood bars/restaurants a block away and a 5-min walk to Columbia Heights and the 11 St ""Hip Strip."" Super easy access to Petworth metro, bus.",3077051,27/07/2012,f,1,t,t,"Newton Place Northwest, Washington, DC 20010, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20010,"Washington, DC",38.93659335,-77.02488041,t,Apartment,Entire home/apt,3,Real Bed,115,0,25,1,0,2,10,22,22,47,322,19,21/04/2014,01/09/2015,f,flexible,f,f,1,1.07,97,10,9,10,10,9,10,Medium,0100-0125
1717,7369156,Sunny and spacious turret room,"The room is large, around 250 sq feet and complete with a charming reading nook in a turret of windows. Furnished with a bed, a couch, a dresser, and a few other things to make you feel at home. You would share a bathroom with one other housemate.",18611568,22/07/2014,f,1,t,f,"Kansas Avenue Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.9443713,-77.02516615,t,House,Private room,2,Real Bed,50,0,0,1,25,1,1125,0,0,0,51,6,30/07/2015,28/08/2015,t,moderate,f,f,1,2.73,87,10,8,9,8,8,9,Medium,0050-0075
1718,8671686,Sunny Petworth Apartment,"This is great apartment in an exciting neighborhood. 3rd floor, sunny, great furniture and decor, you'll find yourself quickly comfortable and ready to explore the city. Close to the metro, bus, and many restaurants and bars within walking distance.",38713270,16/07/2015,f,1,t,f,"Varnum Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94217667,-77.02446383,t,Apartment,Entire home/apt,2,Real Bed,60,0,0,1,0,1,1125,2,2,2,2,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0050-0075
1719,1162711,English Basement in Petworth,"Large, private basement apartment in charming Petworth rowhouse.",2909412,11/07/2012,f,3,t,t,"Emerson Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94887274,-77.01829902,t,Apartment,Entire home/apt,2,Real Bed,50,200,50,1,0,7,9,0,1,31,33,2,19/08/2015,31/08/2015,f,moderate,f,f,1,1.3,90,10,10,10,10,9,9,Medium,0050-0075
1720,7746325,Sweet Basement Apt in Petworth,"Well-lit basement apt that's just close enough to all the happenings of DC to be convenient, but just far enough away to allow for super easy street parking and a quiet relaxing feel.  Near Columbia Heights, 11th St Restaurants, 14th & U St Crrdr",2513243,31/05/2012,f,1,t,t,"Hamilton Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.95392165,-77.02009895,t,House,Entire home/apt,2,Real Bed,89,125,40,2,35,1,1125,25,55,85,360,3,15/08/2015,06/09/2015,t,flexible,f,f,1,1.8,100,10,10,10,10,9,10,Medium,0075-0100
